"","@context","@type","@type1","ratingValue","@type2","name","reviewBody","@context1","@type3","name1","sameAs","date"
"33","https://schema.org/","Review","Rating","4","Person","Former Employee - IT Governance Risk &amp; Compliance","Used to be Great","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Dec 5, 2023"
"34","https://schema.org/","Review","Rating","3","Person","Former Employee - Financial Advisor","Good company ","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Dec 13, 2023"
"35","https://schema.org/","Review","Rating","4","Person","Current Employee - Subsea Project Engineer","Decent but could be better","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 25, 2023"
"36","https://schema.org/","Review","Rating","5","Person","Current Employee - Mechanical Engineer","Great Workplace","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Dec 7, 2023"
"37","https://schema.org/","Review","Rating","4","Person","Former Employee - Director","Good company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Dec 5, 2023"
"38","https://schema.org/","Review","Rating","5","Person","Current Employee - Sr. Manager, Operations","Good pay but long hours","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Dec 4, 2023"
"39","https://schema.org/","Review","Rating","5","Person","Former Employee - Executive Assistant","Great company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 29, 2023"
"40","https://schema.org/","Review","Rating","3","Person","Former Employee - Process Safety Engineer","Had to transition myself out of this job for my overall well-being..........","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 21, 2023"
"41","https://schema.org/","Review","Rating","1","Person","Current Employee - Customer Service Representative","Thorton's Company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 13, 2023"
"42","https://schema.org/","Review","Rating","5","Person","Current Employee - Cashier","Great job","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 26, 2023"
"43","https://schema.org/","Review","Rating","5","Person","Current Employee - Business Analyst","Analyst","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 24, 2023"
"44","https://schema.org/","Review","Rating","5","Person","Current Employee - Shift Manager","Amazing","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 15, 2023"
"45","https://schema.org/","Review","Rating","4","Person","Current Employee - IT Service Desk Analyst","Great company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 15, 2023"
"46","https://schema.org/","Review","Rating","5","Person","Current Employee - Staff Accountant","Love my company !","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 9, 2023"
"47","https://schema.org/","Review","Rating","4","Person","Former Employee - Inventory Analyst","Good experience","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 14, 2023"
"48","https://schema.org/","Review","Rating","5","Person","Former Employee - Power Plant Operator","Great company. But turds in the department punch bowl.","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 2, 2023"
"49","https://schema.org/","Review","Rating","5","Person","Current Employee - Lead Network Architect","Amazing company and people.","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 4, 2023"
"50","https://schema.org/","Review","Rating","5","Person","Current Employee - Early Careers Lead","Incredible People, Inspiring company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 11, 2023"
"51","https://schema.org/","Review","Rating","4","Person","Former Employee - Supply Chain Intern","Bpx","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 1, 2023"
"52","https://schema.org/","Review","Rating","1","Person","Current Employee - Trading &amp; Shipping","Leader claims we run lean. In fact, we are starved.","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 2, 2023"
"53","https://schema.org/","Review","Rating","5","Person","Former Employee - Engineer","Great company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 26, 2023"
"54","https://schema.org/","Review","Rating","4","Person","Current Employee - Reservoir Engineer","used to be a better company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 18, 2023"
"55","https://schema.org/","Review","Rating","3","Person","Former Employee - Analyst","Very commercial but too much bureaucracy","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 13, 2023"
"56","https://schema.org/","Review","Rating","2","Person","Former Employee - Well Engineer","Company doesn't live by its values anymore","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 14, 2023"
"57","https://schema.org/","Review","Rating","4","Person","Current Employee - Compliance Advisor","Good to Employees","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 17, 2023"
"58","https://schema.org/","Review","Rating","3","Person","Current Employee - Shift Manager","Ethics","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 19, 2023"
"59","https://schema.org/","Review","Rating","2","Person","Current Employee - Operations Manager","Good","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 17, 2023"
"60","https://schema.org/","Review","Rating","5","Person","Current Employee - Anonymous Employee","Clerk","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 14, 2023"
"61","https://schema.org/","Review","Rating","5","Person","Current Employee - Reservoir Engineer","Great Culture","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 13, 2023"
"62","https://schema.org/","Review","Rating","3","Person","Former Employee - Sales Associate/Cashier","Bp cashier","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 4, 2023"
"63","https://schema.org/","Review","Rating","5","Person","Former Employee - Specialist","Great","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 5, 2023"
"64","https://schema.org/","Review","Rating","4","Person","Current Employee - Process Engineer","Overall good place to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 26, 2023"
"65","https://schema.org/","Review","Rating","1","Person","Former Employee - Analyst","N/A","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Oct 31, 2023"
"66","https://schema.org/","Review","Rating","4","Person","Current Employee - Business Analyst","Analyst","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 21, 2023"
"67","https://schema.org/","Review","Rating","4","Person","Current Employee - Finance Advisor","Great Work/Life Balance, Good Pay. Bad Management &amp;amp; Politics","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Apr 12, 2023"
"68","https://schema.org/","Review","Rating","3","Person","Former Employee - Cashier","Good part time job","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 28, 2023"
"69","https://schema.org/","Review","Rating","5","Person","Current Employee - Commodity Risk Analyst","BP Finance","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 25, 2023"
"70","https://schema.org/","Review","Rating","5","Person","Current Employee - Software Engineer","Great for new grads, bad for experienced professionals","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 9, 2023"
"71","https://schema.org/","Review","Rating","4","Person","Former Employee - Anonymous Employee","Overall positive","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 20, 2023"
"72","https://schema.org/","Review","Rating","3","Person","Former Employee - Team Leader","good","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 28, 2023"
"73","https://schema.org/","Review","Rating","3","Person","Former Employee - Cashier","Not the best","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 26, 2023"
"74","https://schema.org/","Review","Rating","5","Person","Current Employee - Engineer","Kind","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 25, 2023"
"75","https://schema.org/","Review","Rating","4","Person","Former Employee - Accountant","Company to work for","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 15, 2023"
"76","https://schema.org/","Review","Rating","4","Person","Former Employee - Manager","Best that you're a Brit","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 14, 2023"
"77","https://schema.org/","Review","Rating","5","Person","Current Employee - Managing Partner","An exciting and great place to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 24, 2023"
"78","https://schema.org/","Review","Rating","4","Person","Current Employee - Marketing Analyst","work life at bp","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 8, 2023"
"79","https://schema.org/","Review","Rating","5","Person","Current Employee - Land Negotiator","Pay &amp;amp; benefits are great.","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 29, 2023"
"80","https://schema.org/","Review","Rating","4","Person","Current Employee - Human Resources","Good intentions/Transformation is hard","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 3, 2023"
"81","https://schema.org/","Review","Rating","5","Person","Current Employee - Market Analyst","Great place to work","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 2, 2023"
"82","https://schema.org/","Review","Rating","3","Person","Former Employee - Software Engineer","Good","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Sep 3, 2023"
"83","https://schema.org/","Review","Rating","4","Person","Former Employee - Cashier","Great","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 4, 2023"
"84","https://schema.org/","Review","Rating","3","Person","Former Employee - Anonymous Employee","Clerk","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 23, 2023"
"85","https://schema.org/","Review","Rating","4","Person","Former Employee - Geologist","Great company","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Aug 17, 2023"
"86","https://schema.org/","Review","Rating","4","Person","Current Employee - Vice President","All Roads Lead to London","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Nov 15, 2022"
"87","https://schema.org/","Review","Rating","4","Person","Current Employee - Staff Software Engineer","Great people &amp;amp; challenging work, but be prepared to put up with a lot of bureaucracy","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","May 1, 2023"
"88","https://schema.org/","Review","Rating","5","Person","Former Employee - Mechanical Integrity Engineer","Working at BP","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jun 25, 2023"
"89","https://schema.org/","Review","Rating","3","Person","Current Employee - Assistant Manager","Overworked underpaid","https://schema.org/","Organization","bp","http://https://www.bp.com/en/global/corporate/careers.html","Jul 22, 2023"
